budget,runtime,genres,production_companies,production_countries,release_year,popularity,vote_count,original_language,cast_count,crew_count,revenue,rating,success_class
30000000,113,['Drama'],"['Jerry Bruckheimer Films', 'Run It Up Productions Inc.', 'Technical Black Films', 'Walt Disney Pictures']",['US'],2000,6.3546,2829,en,89,36,136700000,7.645,Average
63600000,102,"['Action', 'Drama', 'Thriller', 'Crime']","['The Canton Company', 'Franchise Pictures']",['US'],2000,7.115,617,en,30,91,19412993,5.19,Flop
2000000,154,"['Drama', 'Thriller']","['Altavista Films', 'Zeta Film']",['MX'],2000,7.5158,2806,es,26,64,20908467,7.631,Flop
70000000,127,"['Comedy', 'Romance']","['Paramount Pictures', 'Icon Productions', 'Wind Dancer Films']",['US'],2000,6.98,4206,en,99,137,374100000,6.447,Hit
65000000,130,"['Action', 'Adventure', 'Thriller']","['Village Roadshow Pictures', 'Malpaso Productions', 'Mad Chance', 'Clipsal Films', 'Warner Bros. Pictures']",['US'],2000,5.8013,1460,en,44,101,128900000,6.398,Average
16000000,74,"['Adventure', 'Fantasy', 'Animation', 'Action', 'Family']","['Nintendo', 'OLM', 'TV Tokyo', 'Pikachu Project 2000', 'Shogakukan', 'Media Factory', 'Tomy', 'Creatures', 'GAME FREAK', 'jeki', 'Shogakukan Production']",['JP'],2000,6.2508,663,ja,19,60,68452128,6.517,Average
20000000,125,"['Comedy', 'Drama', 'Romance']","['40 Acres and a Mule Filmworks', 'New Line Cinema']",['US'],2000,6.0937,455,en,76,40,27728118,7.327,Flop
80000000,106,"['Thriller', 'Action', 'Science Fiction']","['Mars Production', 'Village Roadshow Pictures', 'NPV Entertainment', 'The Canton Company', 'Warner Bros. Pictures']","['AU', 'US']",2000,5.6852,1107,en,9,152,33463969,5.714,Flop
4500000,113,"['Drama', 'Thriller', 'Action']","['Toei Company', 'WOWOW', 'AM Associates', 'Kobi', 'Nippan Group Holdings', 'MF Pictures', 'GAGA Communications']",['JP'],2000,5.9776,3674,ja,83,28,30600000,7.272,Flop
0,95,['Drama'],"['Fiona Films', 'Good Machine']",['US'],2000,5.7846,12,en,13,69,51380,4.333,Flop
0,111,['Comedy'],"['Daly-Harris Productions', 'Davis Entertainment Classics', 'Sordid Lives LLC']",['US'],2000,5.5642,49,en,21,2,1079726,6.449,Flop
85000000,100,"['Family', 'Comedy']","['Walt Disney Pictures', 'Cruella Productions', 'Kanzaman S.A.M.']",['US'],2000,6.0043,1435,en,47,39,183611771,5.517,Average
35000000,107,"['Drama', 'Adventure', 'Fantasy']","['New Line Cinema', 'Silver Pictures', 'Sweetpea Entertainment', 'Behaviour Worldwide', 'MDP Worldwide', 'Stillking Films']","['CZ', 'US']",2000,5.6034,669,en,22,108,15185241,4.347,Flop
10000000,110,"['Comedy', 'Music', 'Romance']","['Sullivan Street Productions', 'Michael Ritchie Productions', 'Radmin Company, The', 'United Artists', 'Metro-Goldwyn-Mayer']",['US'],2000,5.6246,27,en,11,18,49666,5.444,Flop
32000000,129,['Drama'],['Fox 2000 Pictures'],['US'],2000,6.2721,2420,en,21,54,82300000,7.488,Average
75000000,94,"['Animation', 'Science Fiction', 'Adventure', 'Family', 'Action']","['David Kirschner Productions', 'Gary Goldman Productions', '20th Century Fox', '20th Century Fox Animation']",['US'],2000,5.7002,1142,en,24,62,36754634,6.595,Flop
95000000,89,"['Family', 'Adventure', 'Animation', 'Comedy', 'Fantasy']","['DreamWorks Pictures', 'DreamWorks Animation']",['US'],2000,5.241,3950,en,12,58,76400000,7.251,Average
1666000,156,"['Comedy', 'Crime']",['A.G. Films'],['IN'],2000,5.5336,285,hi,14,12,4755000,7.028,Flop
48000000,93,"['Fantasy', 'Comedy', 'Romance']","['KirchMedia', 'Regency Enterprises', 'Taurus Film', '20th Century Fox']","['DE', 'US']",2000,5.1544,2027,en,51,127,90383208,6.071,Average
10000000,101,"['Action', 'Comedy', 'Romance', 'Thriller']","['Fortis Films', 'Hollywood Pictures']",['US'],2000,5.1472,144,en,40,29,1600000,5.191,Flop
127500000,82,"['Animation', 'Family', 'Adventure', 'Drama']","['Walt Disney Feature Animation', 'The Secret Lab', 'Walt Disney Pictures']",['US'],2000,5.0921,2667,en,33,59,354248063,6.5,Hit
0,94,"['Romance', 'Drama']","[""Man's Films"", 'Lancelot Films', 'ARTE France Cinéma', 'RTBF']","['BE', 'FR']",2000,5.2981,79,fr,13,17,326484,6.335,Flop
10500000,82,"['Action', 'Comedy', 'Adventure', 'Crime']","['ARP Sélection', 'TF1 Films Production', 'Canal+', 'Leeloo Productions', 'EuropaCorp']",['FR'],2000,5.2936,1833,fr,70,52,64433844,6.267,Average
125000000,152,"['Adventure', 'Fantasy']","['Warner Bros. Pictures', 'Heyday Films', '1492 Pictures']","['GB', 'US']",2001,33.9479,28950,en,63,217,976475550,7.9,Hit
93000000,179,"['Adventure', 'Fantasy', 'Action']","['New Line Cinema', 'WingNut Films', 'The Saul Zaentz Company']","['NZ', 'US']",2001,30.7466,26739,en,117,175,871368364,8.427,Hit
60000000,90,"['Animation', 'Comedy', 'Fantasy', 'Adventure', 'Family']","['Pacific Data Images', 'DreamWorks Animation', 'DreamWorks Pictures']",['US'],2001,27.3759,18217,en,23,309,488628188,7.754,Hit
75000000,95,"['Adventure', 'Animation', 'Action', 'Comedy', 'Family', 'Science Fiction']","['Conundrum Entertainment', 'Warner Bros. Pictures']",['US'],2001,24.3577,1060,en,20,69,13596911,6.502,Flop
19000000,125,"['Animation', 'Family', 'Fantasy']","['Studio Ghibli', 'Tokuma Shoten', 'Nippon Television Network Corporation', 'Mitsubishi', 'dentsu', 'TFC']",['JP'],2001,20.0039,17748,ja,48,91,274925095,8.533,Hit
115000000,92,"['Animation', 'Comedy', 'Family']",['Pixar'],['US'],2001,18.5031,19322,en,53,430,579700000,7.847,Hit
100000000,120,"['Thriller', 'Science Fiction', 'Action', 'Adventure']","['20th Century Fox', 'The Zanuck Company']",['US'],2001,16.8625,4291,en,58,340,362211740,5.764,Hit
7000000,113,"['Action', 'Adventure', 'Drama', 'Family']","['3Mark Entertainment', 'Molen/Garbett Productions', 'Walt Disney Studios Home Entertainment']",['US'],2001,13.3299,69,en,14,15,4720371,6.214,Flop
98000000,130,"['Adventure', 'Action', 'Fantasy']","['Universal Pictures', 'Alphaville Films', 'Imhotep Productions']","['US', 'MA', 'JO', 'GB']",2001,11.0165,7432,en,24,176,443280904,6.389,Hit
10000005,113,"['Action', 'Comedy']","['Star Overseas', 'Universe Entertainment', 'Miramax']",['HK'],2001,10.6014,2439,cn,39,64,42776760,7.144,Flop
58000000,135,"['Drama', 'Romance']","['Universal Pictures', 'DreamWorks Pictures', 'Imagine Entertainment']",['US'],2001,10.3717,10765,en,101,236,316791257,7.856,Hit
18000000,96,"['Comedy', 'Romance']","['Metro-Goldwyn-Mayer', 'Marc Platt Productions']",['US'],2001,10.1064,4368,en,68,113,141778365,6.812,Average
28000000,90,"['Comedy', 'Romance']","['Tapestry Films', 'Miramax', 'Simon Fields Productions']","['US', 'IN']",2001,10.1036,2065,en,43,55,77516304,6.9,Average
85000000,116,"['Thriller', 'Crime']","['Warner Bros. Pictures', 'Village Roadshow Pictures', 'NPV Entertainment', 'Jerry Weintraub Productions', 'Section Eight']",['US'],2001,9.4034,12205,en,78,170,450717150,7.453,Hit
15000000,147,"['Thriller', 'Drama', 'Mystery']","['StudioCanal', 'Les Films Alain Sarde', 'Asymmetrical Productions', 'Babbo']","['FR', 'US']",2001,8.7947,6782,en,73,95,20289986,7.804,Flop
28000000,89,['Comedy'],"['Paramount Pictures', 'Village Roadshow Pictures', 'VH1 Films', 'NPV Entertainment', 'Scott Rudin Productions', 'Red Hour']",['US'],2001,8.6243,4729,en,110,140,60780981,6.209,Average
49000000,87,"['Action', 'Science Fiction', 'Thriller']","['Revolution Studios', 'Hard Eight Pictures']",['US'],2001,8.5871,1671,en,43,111,72689126,6.1,Average
92000000,145,"['Action', 'War', 'History']","['Jerry Bruckheimer Films', 'Revolution Studios', 'Scott Free Productions']","['GB', 'US']",2001,8.3289,6143,en,55,275,172989651,7.389,Average
37000000,115,"['Comedy', 'Family', 'Romance']","['Bottom of the Ninth Productions', 'Walt Disney Pictures', 'BrownHouse Productions']",['US'],2001,8.1506,5172,en,92,40,165335153,7.0,Average
140000000,183,"['War', 'Romance', 'History', 'Action']","['Touchstone Pictures', 'Jerry Bruckheimer Films']",['US'],2001,8.161,6823,en,114,270,449220945,6.939,Hit
92000000,145,"['Action', 'War', 'History']","['Jerry Bruckheimer Films', 'Revolution Studios', 'Scott Free Productions']","['GB', 'US']",2001,8.3289,6143,en,55,275,172989651,7.389,Average
10000000,122,"['Comedy', 'Romance']","['Victoires Productions', 'Tapioca Films', 'France 3 Cinéma', 'MMC Independent', 'UGC']","['FR', 'DE']",2001,8.1276,12079,fr,74,121,173921954,7.914,Average
35000000,122,"['Horror', 'Mystery', 'Thriller']","['Underworld Pictures', 'Don Murphy Productions', 'Amy Robinson Productions', 'Jane Hamsher Productions']",['US'],2001,7.2727,2942,en,53,81,74558115,6.693,Average
65000000,133,"['Adventure', 'Drama', 'Romance', 'Action']","['Columbia Pictures', 'Escape Artists', 'Finestkind', 'Black and Blu Entertainment']",['US'],2001,7.43,3263,en,37,121,117487473,6.869,Average
16000000,89,['Comedy'],"['Neal H. Moritz Productions', 'Original Film', 'Columbia Pictures']",['US'],2001,8.0976,2208,en,99,88,66468332,5.8,Average
115000000,100,"['Adventure', 'Action', 'Fantasy']","['Paramount Pictures', 'Mutual Film Company', 'Lawrence Gordon Productions', 'Eidos Films']","['GB', 'US']",2001,7.2475,6358,en,32,674,274703340,5.909,Hit
0,119,"['Romance', 'Drama', 'Fantasy']","['Téléma Productions', 'StudioCanal', 'ARTE France Cinéma', 'France 2 Cinéma', 'WDR/Arte', 'Mikado Film', 'Azor Films']","['FR', 'DE', 'IT']",2001,7.4271,541,en,21,21,2672527,6.222,Flop
4500000,114,"['Fantasy', 'Drama', 'Mystery']","['Flower Films', 'Pandora Cinema', 'Newmarket Films']",['US'],2001,7.5157,13063,en,41,146,7500000,7.765,Flop
42000000,116,"['Thriller', 'Drama', 'Mystery', 'Romance']","['Epsilon Motion Pictures', 'Via Rosa Productions', 'Di Novi Pictures', 'Intermedia Films', 'Metro-Goldwyn-Mayer', 'Hyde Park Entertainment', 'UGC Films']","['FR', 'CH', 'US', 'GB']",2001,6.5431,873,en,17,36,35402320,6.1,Flop
100000000,146,"['Drama', 'Science Fiction', 'Adventure']","['Warner Bros. Pictures', 'DreamWorks Pictures', 'Amblin Entertainment', 'Stanley Kubrick Productions']","['GB', 'US']",2001,6.4991,6479,en,77,194,235926552,7.053,Hit
7000000,113,"['Action', 'Adventure', 'Drama', 'Family']","['3Mark Entertainment', 'Molen/Garbett Productions', 'Walt Disney Studios Home Entertainment']",['US'],2001,13.3299,69,en,14,15,4720371,6.214,Flop
16000000,130,"['Crime', 'Drama', 'Romance', 'Thriller']","['New Deal Productions', 'Columbia Pictures']",['US'],2001,7.0053,334,en,50,46,29381649,7.1,Flop
94000000,116,"['Action', 'Drama']",['Franchise Pictures'],['US'],2001,6.6152,786,en,53,89,54744738,5.134,Average
48000000,118,"['Romance', 'Comedy', 'Fantasy']","['Konrad Pictures', 'Miramax']",['US'],2001,6.7545,1442,en,60,109,76019048,6.34,Average
45000000,122,"['Action', 'Crime', 'Drama']","['WV Films II', 'Village Roadshow Pictures', 'NPV Entertainment', 'Warner Bros. Pictures', 'Outlaw Productions']",['US'],2001,6.8433,6347,en,50,117,104900000,7.509,Average
17700000,91,"['Mystery', 'Adventure', 'Comedy', 'Romance', 'Drama']","['Columbia Pictures', 'Happy Madison Productions', 'RSC Media']",['US'],2001,6.431,772,en,66,86,30987695,5.617,Flop
68000000,131,"['Drama', 'War', 'History', 'Romance']","['Paramount Pictures', 'Mandalay Pictures', 'KC Medien', 'Reperage', 'DOS', 'MP Film Management', 'Little Bird', 'Lions Gate Films', 'Swanford Films']","['US', 'FR', 'DE', 'IE', 'GB']",2001,5.9127,3906,en,69,171,96976270,7.419,Average
115000000,126,"['Action', 'Crime', 'Thriller']","['TOHO', 'Kalima Productions', 'Metropolitan Filmexport', 'Douglas Wick Productions']","['FR', 'DE', 'JP', 'US']",2001,6.7218,2263,en,67,51,143049560,6.911,Average
120000000,95,"['Animation', 'Family', 'Adventure', 'Science Fiction']","['Walt Disney Pictures', 'Walt Disney Feature Animation']",['US'],2001,6.3848,5018,en,16,104,186053725,7.029,Average
2000000,101,"['Animation', 'Drama', 'Fantasy']","['IFC Productions', 'Thousand Words', 'Detour Filmproduction']",['US'],2001,6.2909,918,en,57,92,3176880,7.5,Flop
3000000,103,"['Comedy', 'Crime', 'Mystery']","['Fox Searchlight Pictures', 'Broken Lizard Industries', 'Jersey Shore', 'Cataland Films', 'Árpád Productions']",['US'],2001,6.5308,1181,en,28,36,23182223,6.555,Flop
0,84,"['Comedy', 'Adventure', 'Romance']","['Touchstone Pictures', 'Bandeira Entertainment']","['US', 'FR']",2001,6.8513,611,en,64,59,5007209,5.745,Flop
1500000,98,['Drama'],"['Seven Arts Pictures', 'Fuller Films']",['US'],2001,6.4698,650,en,36,33,1309316,6.882,Flop
45000000,82,['Comedy'],"['Brad Grey Pictures', 'Gold/Miller Productions', 'Wayans Bros. Entertainment', 'Dimension Films']",['US'],2001,6.1307,4939,en,35,212,141220678,5.809,Average
0,128,"['Drama', 'Romance']","['Sogecine', 'Alicia Produce']",['ES'],2001,5.8493,599,es,11,15,7640680,6.654,Flop
13000000,93,"['Comedy', 'Crime', 'Thriller']","['HAL Films', 'Film4 Productions']",['GB'],2001,6.4718,425,en,22,237,16171098,5.896,Flop
57000000,123,"['Action', 'Comedy', 'Crime', 'Romance']","['Newmarket Films', 'Lawrence Bender Productions', 'Pistolero Productions', 'DreamWorks Pictures']",['US'],2001,4.8959,1551,en,49,38,147845033,5.944,Average
30000000,108,"['Action', 'Crime', 'Drama']","['Industry Entertainment Partners', 'Epsilon Motion Pictures', 'Hyde Park Entertainment', 'Metro-Goldwyn-Mayer']","['CA', 'US']",2001,5.7609,553,en,26,23,18200000,6.038,Flop
0,86,['Drama'],"['Urania Pictures', 'CB Films', 'Immagine e Cinema', 'ARTE France Cinéma', 'Flach Film']","['FR', 'IT']",2001,5.2777,241,fr,16,23,766000,6.168,Flop
50000000,95,"['Comedy', 'Fantasy', 'Adventure']","['Epsilon Motion Pictures', 'Regency Enterprises', 'New Regency Pictures', 'Runteldat Entertainment', 'Firm, The', '20th Century Fox']",['US'],2001,5.7521,1157,en,18,206,33422806,5.353,Flop
7000000,97,"['Action', 'Comedy']","['Lionsgate', 'Lithium Entertainment Group']",['US'],2001,6.034,125,en,33,86,10229331,5.5,Flop
22000000,132,['Drama'],"['New Line Cinema', 'Bedford Falls Productions', 'Red Fish, Blue Fish Films']",['US'],2001,5.2814,2422,en,40,59,92542418,7.56,Average
38000000,99,"['Comedy', 'Romance', 'Family', 'Drama']","['Atchity Entertainment International (AEI)', 'Regency Enterprises', 'Fox 2000 Pictures', 'Epsilon Motion Pictures', 'Kopelson Entertainment']",['US'],2001,5.4064,207,en,28,51,24500000,5.7,Flop
100000,91,['Drama'],"['Dakota Films', ""Hell's Kitchen""]","['GB', 'IE']",2001,5.5996,49,en,20,17,87400,6.143,Flop
53000000,124,"['Crime', 'Drama']","['New Line Cinema', 'Spanky Pictures', 'Apostle']",['US'],2001,5.5698,4498,en,80,161,83300000,7.354,Average
17000000,101,"['Horror', 'Mystery', 'Thriller']","['Cruise/Wagner Productions', 'Sogecine', 'Las Producciones del Escorpion']","['ES', 'US', 'FR']",2001,5.4923,6936,en,14,95,210002906,7.6,Average
38000000,99,"['Comedy', 'Romance', 'Family', 'Drama']","['Atchity Entertainment International (AEI)', 'Regency Enterprises', 'Fox 2000 Pictures', 'Epsilon Motion Pictures', 'Kopelson Entertainment']",['US'],2001,5.4064,207,en,28,51,24500000,5.7,Flop
70000000,124,"['Action', 'Adventure', 'Thriller', 'Crime', 'Drama']",['Revolution Studios'],['US'],2002,71.6771,4706,en,66,272,277448382,5.978,Hit
79000000,179,"['Adventure', 'Fantasy', 'Action']","['New Line Cinema', 'WingNut Films', 'The Saul Zaentz Company']","['NZ', 'US']",2002,27.0452,23213,en,106,180,926287400,8.411,Hit
100000000,161,"['Adventure', 'Fantasy']","['Warner Bros. Pictures', 'Heyday Films', '1492 Pictures', 'MIRACLE Productions']","['GB', 'US', 'DE']",2002,25.9521,23087,en,77,196,876688482,7.705,Hit
139000000,121,"['Action', 'Science Fiction']","['Marvel Enterprises', 'Laura Ziskin Productions', 'Columbia Pictures']",['US'],2002,17.4181,20134,en,93,218,821708551,7.318,Hit
59000000,81,"['Animation', 'Comedy', 'Family', 'Adventure']","['Blue Sky Studios', '20th Century Fox']",['US'],2002,17.1148,13955,en,23,161,383257136,7.367,Hit
52000000,141,"['Drama', 'Crime']","['Kemp Company', 'Splendid Pictures', 'DreamWorks Pictures', 'Parkes+MacDonald Production']",['US'],2002,15.8827,16596,en,128,141,352114312,7.978,Hit
8000000,113,"['Horror', 'Thriller', 'Science Fiction']",['DNA Films'],['GB'],2002,10.7805,8031,en,37,74,85032676,7.235,Average
60000000,119,"['Action', 'Drama', 'Mystery', 'Thriller']","['Universal Pictures', 'Hypnotic', 'Kalima Productions', 'Stillking Films', 'The Kennedy/Marshall Company']","['US', 'DE', 'CZ']",2002,10.8804,9784,en,51,203,214034224,7.47,Average
54000000,117,"['Fantasy', 'Horror', 'Action', 'Thriller']","['New Line Cinema', 'Amen Ra Films', 'Imaginary Forces']",['US'],2002,9.0982,5049,en,47,218,155010032,6.557,Average
46000000,118,"['Thriller', 'Crime', 'Drama']","['Alcon Entertainment', 'Witt/Thomas Productions', 'Section Eight']",['US'],2002,9.7463,5080,en,25,55,113714830,6.954,Average
65000000,104,"['Fantasy', 'Comedy', 'Family']","['Walt Disney Pictures', 'Outlaw Productions', 'Boxing Cat Films']","['US', 'CA']",2002,8.9717,1389,en,56,80,172842355,6.001,Average
35000000,150,"['Drama', 'War']","['R.P. Productions', 'Heritage Films', 'Studio Babelsberg', 'Runteam']","['FR', 'DE', 'PL', 'GB']",2002,8.7553,9814,en,79,57,120098945,8.379,Average
140000000,96,"['Science Fiction', 'Adventure', 'Animation', 'Family', 'Fantasy']",['Walt Disney Pictures'],['US'],2002,11.407,4471,en,31,46,109578115,7.563,Average
4000000,111,"['Romance', 'Drama', 'Comedy']","['Slough Pond', 'double A Films', 'TwoPoundBag Productions']",['US'],2002,8.4019,1810,en,28,35,9300000,6.791,Flop
34000000,104,"['Comedy', 'Fantasy']","['Touchstone Pictures', 'Happy Madison Productions']",['US'],2002,8.3097,2108,en,33,140,54639553,6.361,Average
80000000,85,"['Animation', 'Family', 'Comedy']",['Walt Disney Pictures'],['US'],2002,8.902,6901,en,50,48,273144151,7.563,Hit
41000000,111,"['Drama', 'Music']","['Mikona Productions', 'Imagine Entertainment']","['DE', 'US']",2002,7.2335,7622,en,42,146,242875078,7.143,Hit
84000000,87,"['Mystery', 'Adventure', 'Comedy']","['Mosaic Media Group', 'Warner Bros. Pictures']",['US'],2002,8.6516,4655,en,51,216,275650703,6.097,Hit
3500000,93,"['Drama', 'Thriller', 'Crime']","['Wild Bunch', 'Eskwad', 'StudioCanal', 'Les Cinémas de la Zone', 'Nord-Ouest Productions', '120 Films', 'Canal+']",['FR'],2002,7.727,3159,fr,19,38,6500000,7.18,Flop
3300000,129,"['Drama', 'Crime']","['O2 Filmes', 'VideoFilmes', 'Wild Bunch', 'Hank Levine Film & Music', 'Globo Filmes', 'Lumière']","['BR', 'FR', 'DE']",2002,8.0514,7916,pt,150,40,30641770,8.426,Flop
50000000,96,"['Comedy', 'Romance']","['Columbia Pictures', 'New Line Cinema', 'Happy Madison Productions', 'Out of the Blue... Entertainment']",['US'],2002,8.4784,2440,en,71,94,171269565,5.915,Average
60000000,98,"['Thriller', 'Action', 'Comedy', 'Science Fiction']","['DreamWorks Pictures', 'Vanguard Films', 'Paramount Pictures', 'Parkes+MacDonald Production']",['US'],2002,8.6412,2091,en,67,59,104400000,5.731,Average
20000000,96,"['Action', 'Drama', 'Crime']","['Miramax', 'Amen Ra Films']","['US', 'DE', 'JP']",2002,8.1331,780,en,43,23,14946150,6.516,Flop
102000000,145,"['Science Fiction', 'Action', 'Thriller']","['Digital Image Associates', 'Cruise/Wagner Productions', 'Blue Tulip Productions', 'Ronald Shusett/Gary Goldman Productions', 'Amblin Entertainment', '20th Century Fox', 'DreamWorks Pictures']",['US'],2002,8.0237,9301,en,108,525,358372926,7.349,Hit
80000000,83,"['Animation', 'Adventure', 'Family', 'Drama', 'Western', 'Romance']","['DreamWorks Animation', 'DreamWorks Pictures']",['US'],2002,7.2513,4800,en,15,30,122563539,7.687,Average
31000000,99,"['Drama', 'Adventure', 'Action', 'History']","['Beijing New Picture Film Co. Ltd.', 'China Film Co-Production Corp.', 'Elite Group Enterprises', 'Edko Films', 'Sil-Metropole Organisation', 'Zhang Yimou Studio']","['HK', 'CN']",2002,7.1575,2403,zh,16,32,177394432,7.503,Average
35000000,131,"['Adventure', 'Drama', 'History', 'Action', 'Thriller']","['Touchstone Pictures', 'Spyglass Entertainment', 'World 2000 Entertainment', 'Count of Monte Cristo Ltd.', 'Epsilon Motion Pictures']","['IE', 'US']",2002,6.8684,1937,en,35,222,75395048,7.672,Average
50000000,124,"['Thriller', 'Drama', 'Romance']","['Fox 2000 Pictures', 'Regency Enterprises', 'Epsilon Motion Pictures', 'Unfaithful Filmproduktion']","['US', 'CH', 'DE']",2002,7.6701,1642,en,38,148,119137784,6.675,Average
